G_NUMBER	DATE_ISOLATION	COUNTRY_ISOLATION	Region	ClonalComplex
G41456		Mexico	Central America	eu1
G41457		Mexico	Central America	eu1
G41460		Mexico	Central America	eu1
G41466		Mexico	Central America	eu1
G41467		Mexico	Central America	eu1
G41476		Mexico	Central America	eu1
G41478		Mexico	Central America	eu1
G41480		Mexico	Central America	eu1
G41481		Mexico	Central America	eu1
G41484		Mexico	Central America	eu1
G41487		Mexico	Central America	eu1
G41490		Uganda	Eastern Africa	af2
G41491		Uganda	Eastern Africa	af2
G41492		Uganda	Eastern Africa	af2
G41493		Uganda	Eastern Africa	PZA_sus
G41494		Uganda	Eastern Africa	af2
G41495		Uganda	Eastern Africa	af2
G41496		Uganda	Eastern Africa	PZA_sus
G41497		Uganda	Eastern Africa	PZA_sus
G41498		Uganda	Eastern Africa	PZA_sus
G41499		Uganda	Eastern Africa	af2
G41500		Uganda	Eastern Africa	af2
G41501		Uganda	Eastern Africa	af2
G41502		Uganda	Eastern Africa	af2
G41503		Uganda	Eastern Africa	af2
G41504		Uganda	Eastern Africa	PZA_sus
G41505		Uganda	Eastern Africa	af2
G41506		Uganda	Eastern Africa	af2
G41507		Uganda	Eastern Africa	af2
G41508		Uganda	Eastern Africa	af2
G41509		Zambia	Eastern Africa	unk5
G41510		Zambia	Eastern Africa	unk5
G41511		Zambia	Eastern Africa	unk5
G41512		Zambia	Eastern Africa	unk5
G41513		Zambia	Eastern Africa	unk5
G41514		Zambia	Eastern Africa	unk5
G41515		Zambia	Eastern Africa	unk5
G41516		Zambia	Eastern Africa	unk5
G41517		Ethiopia	Eastern Africa	af2
G41518		Ethiopia	Eastern Africa	af2
G41519		Ethiopia	Eastern Africa	af2
G41520		Ethiopia	Eastern Africa	af2
G41521		Ethiopia	Eastern Africa	af2
G41522		Ethiopia	Eastern Africa	af2
G41523		Ethiopia	Eastern Africa	af2
G41524		Ethiopia	Eastern Africa	af2
G41525		Ethiopia	Eastern Africa	af2
G41526		Ethiopia	Eastern Africa	af2
G41527		Ethiopia	Eastern Africa	af2
G41528		Ethiopia	Eastern Africa	af2
G41529		Ethiopia	Eastern Africa	af2
G41530		Ethiopia	Eastern Africa	af2
G41531		Ethiopia	Eastern Africa	af2
G41532		Ethiopia	Eastern Africa	af2
G41568	1992-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41570	2001-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41572	2006-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41585	2001-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41615	2004-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41617	1948-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41618	2007-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41622	2011-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41686	1990-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41690	1997-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41691	1996-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41693	1990-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41702	1994-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41764	2007-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41772	2015-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41775	2014-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41810	2004-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41815	1996-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41836	2013-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41838	2009-01-01 00:00:00.000	China	Eastern Asia	caprae
G41842	2007-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41857	1996-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41858	2009-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41886	2014-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41887	2011-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41937	2009-01-01 00:00:00.000	New Zealand	Oceania	eu1
G41988	2015-01-01 00:00:00.000	New Zealand	Oceania	eu1
